,CoinName,0,1,class
4,Ethereum,-2.2984343,-17.817543,2
5,Litecoin,2.1515594,-6.914664,2
7,Monero,-4.730652,-12.922188,2
8,Ethereum Classic,-2.2984319,-17.817537,2
9,ZCash,4.926409,-19.528255,2
10,Bitshares,5.79569,1.7839382,2
11,DigiByte,9.848072,-14.784947,2
14,ProsperCoin,6.9775033,-6.6797433,2
17,Argentum,4.7302866,-7.2640815,2
20,MyriadCoin,9.849504,-14.785214,2
21,MoonCoin,1.4329754,-3.3192072,2
23,SexCoin,-0.35709488,-7.1786046,2
24,Quatloo,3.7300353,-7.3666167,2
28,Digitalcoin ,4.0808883,-6.9550686,2
30,Catcoin,6.83777,-6.6646338,2
32,CannaCoin,7.2453465,-7.7635403,2
34,CasinoCoin,4.6553216,-2.2043025,2
36,Verge,9.848104,-14.784958,2
38,EarthCoin,2.266458,-11.237026,2
39,E-Gulden,6.112123,-7.1473756,2
40,Einsteinium,-0.7393187,-7.7604322,2
41,Emerald,5.4861336,-7.0121937,2
43,FlutterCoin,8.422963,-5.96404,2
44,Franko,7.4099665,-7.8895836,2
46,GrandCoin,-0.26282817,-9.711148,2
47,GlobalCoin,2.3213708,-6.8229976,2
48,GoldCoin,3.0788994,-6.9906435,2
51,Infinite Coin,1.4816065,-3.6628458,2
54,KrugerCoin,-0.5348213,-7.3379807,2
55,LuckyCoin,6.3317327,-7.4698033,2
56,Litebar ,8.095189,-7.586189,2
58,MegaCoin,4.027695,-6.9120474,2
59,MediterraneanCoin,8.422963,-5.96404,2
61,MinCoin,7.4654784,-7.6114078,2
65,NobleCoin,1.5412607,-11.2420635,2
67,NyanCoin,-0.7855035,-8.1069975,2
73,RonPaulCoin,7.2698846,-6.7212234,2
74,StableCoin,0.8584007,-7.082651,2
75,SmartCoin,4.447142,-6.970137,2
79,TeslaCoin,10.114757,-14.833556,2
89,ViaCoin,5.8925333,-6.811441,2
90,VeriCoin,10.07427,-8.756211,2
91,Vertcoin,-2.6422927,-0.68550855,2
